FineID,LoanID,PaymentStatus,MemberID,Amount,MemberType
2484302526,344884109620164,Unpaid,aa18715d-c041-4e2d-a528-bf0ea09f6c8b,6.2,S
2646818843,4310629982979588,Unpaid,f7fd4372-186f-4d0a-9414-020901c67302,8.95,B
2713416882,377849558330620,Paid,78af5fbb-2314-43a7-9cdf-2d7958a84932,5.8,A
2730987611,4539969775842725,Unpaid,97c15564-1a62-48f4-9d9a-f6475042696b,5.31,A
2806700209,609244363200336384,Unpaid,9069871e-073c-4926-acfa-bb6a96a8b23f,5.04,P
3807020199,348072807868960,Paid,84777f33-79a5-4fb6-9508-bcc6cb191efa,6.87,A
3845557247,5574326024293338,Unpaid,800aff3c-7dc3-41fe-8569-9b679bef6c3b,5.96,A
4054583119,5266280313774701,Paid,3035facb-5455-4f37-a89f-e54c4c7c9937,6.99,S
4214101957,372804408942711,Unpaid,2fcef34b-a11f-4f94-bba2-efdc7b582464,6.1,S
4380739627,4878122949999729,Unpaid,4e782040-ddc6-41a3-9ed1-bc2b54157763,6.58,S
4387427245,5124609753185162,Unpaid,eb35a2d8-196a-48a9-bd97-4dd7bb8da4c1,6.19,B
5541239776,619507355318050432,Unpaid,ff53f69f-1ed0-4f6b-ae69-5565dbf41a7f,5.92,P
6512426636,342443311770938,Unpaid,9b545725-d30e-492f-ac35-19b6f5117d7f,7.53,S
6608718040,4462924047786,Unpaid,c00844d1-4ed6-4752-8c7a-c54dc09c745c,6.03,A
7602071153,619807441340649216,Unpaid,ae13419f-ce14-45bb-b49c-cc144cc19f82,5.32,A
7687593947,5341499522583856,Unpaid,a59cb134-154d-42d0-85db-2c551387e40e,6.05,A
7722152460,5241396684238058,Unpaid,c39b445a-bbf4-46e3-bceb-f3bb9c02a5fa,7.15,S
7888817810,5140251252638860,Unpaid,e8c2144f-e6c0-4c00-b0a0-19d10fd0563b,5.54,A
8530919163,611283495999793408,Paid,1656acb2-bbbd-4036-ba69-3d014e242cf9,6.1,B
8885478189,5211226922066696,Unpaid,40cf5577-fd8d-4d9e-bef0-61e5bc601387,7.15,S
9352984456,5213339980051233,Paid,371a84a8-14bf-4a59-999e-969ca93c7092,5.84,S
9785202701,5339397931276506,Paid,a0af8768-a370-40c3-818d-c024008bd47e,5.38,P
9900120609,4919415722571140,Unpaid,2304291e-5d72-4e1e-bb81-8d0fa417f773,8.11,B
9924059106,618541295951826944,Paid,114ff942-62cb-46dc-91e8-a75fbcbbdb72,6.89,A
