LibrarianID,Name,Contact,Role
1000,Arielle Salamon,arielle.salamon@free.fr,Staff
1001,Kip Pittwood,kip.pittwood@bol.com.br,Admin
1002,Joellen Wort,joellen.wort@gmail.com,Staff
1003,Nat Rainard,nat.rainard@yahoo.co.uk,Staff
1004,Zola Rowlings,zola.rowlings@yahoo.com,Admin
1005,Priscella Tideswell,priscella.tideswell@gmail.com,Staff
1006,Port Brogini,port.brogini@hotmail.com,Staff
1007,Roscoe Yewdall,roscoe.yewdall@gmail.com,Staff
1008,Denver Langley,denver.langley@yahoo.com,Staff
1009,Evvie Cutbirth,evvie.cutbirth@hotmail.com,Staff
1010,Mikel Whittock,mikel.whittock@hotmail.com,Staff
1011,Ania Locke,ania.locke@yahoo.com,Staff
1012,Stacee Foxten,stacee.foxten@orange.fr,Staff
1013,Clarissa Glavin,clarissa.glavin@hotmail.co.uk,Staff
1014,Moises Pol,moises.pol@gmail.com,Admin
