MemberID,Name,Contact,TypeID,AccountStatus
d95025ef-ffdf-4fc8-ba4f-448e3e7c69bf,Catharina Ridesdale,catharina.ridesdale@gmail.com,B,Suspended
84577ba9-4678-4c66-a8ca-6a75f57bbe2d,Rosie MacGillreich,rosie.macgillreich@hotmail.com,P,Active
40cf5577-fd8d-4d9e-bef0-61e5bc601387,Henderson Pendock,henderson.pendock@hotmail.com,S,Closed
34ab3752-efce-4af4-856a-46ecb60fac2b,Prudy Plester,prudy.plester@yahoo.com,A,Closed
84777f33-79a5-4fb6-9508-bcc6cb191efa,Marty Nezey,marty.nezey@libero.it,A,Suspended
f7fd4372-186f-4d0a-9414-020901c67302,Christie Zeplin,christie.zeplin@hotmail.es,B,Active
42051088-c385-49ea-ba68-e25d7f8baa5a,Babbette McVey,babbette.mcvey@live.co.uk,P,Closed
a8e2d9f8-1335-4bbf-b6bf-2aa5ff1f591e,Alfie Jarad,alfie.jarad@gmail.com,S,Suspended
cb4a015c-bfed-4931-9eee-809607963043,Gabriela Herion,gabriela.herion@yahoo.com,B,Active
78af5fbb-2314-43a7-9cdf-2d7958a84932,Sal Heaysman,sal.heaysman@t-online.de,A,Active
12d30795-d3a2-4ffb-9edc-8b722055de48,William Mergue,william.mergue@aol.com,S,Closed
5a564bb0-76eb-4f40-a0e9-25586b1cdfc0,Kari Snaddon,kari.snaddon@comcast.net,P,Suspended
e208ad27-baf8-4290-a0e4-d9414498c2be,Babette Faichnie,babette.faichnie@hotmail.com,A,Suspended
1656acb2-bbbd-4036-ba69-3d014e242cf9,Lauri Blezard,lauri.blezard@gmail.com,B,Active
77724f88-b79c-44f2-8d45-802f9c242a04,Britt Ebden,britt.ebden@gmail.com,P,Closed
c39b445a-bbf4-46e3-bceb-f3bb9c02a5fa,Ximenez Worge,ximenez.worge@comcast.net,S,Active
78e42022-ded0-49dd-93ab-7779e6442b70,Bink Dun,bink.dun@free.fr,P,Closed
5c3fd376-11a6-404f-9f61-d7320f581bab,Corrie Rapi,corrie.rapi@orange.fr,S,Suspended
0df39b29-b8bb-4c2e-92a2-4aea0f6788c8,Ruby Ashingden,ruby.ashingden@gmail.com,A,Closed
1b563291-44ae-4521-8129-233f73cdf7af,Lawrence Hurll,lawrence.hurll@gmail.com,B,Suspended
371a84a8-14bf-4a59-999e-969ca93c7092,Madella Veck,madella.veck@hotmail.com,S,Active
4b040e89-7b90-4dd5-b7ba-04a507e14c7b,Nessi Hann,nessi.hann@yahoo.com,P,Suspended
